

Aar	Aar (French), Aare (German)
Adige	Ades (Dolomitic Ladin), Adige (French, Italian), Adigio (Spanish), Adiža (Slovene), Adiže (Czech), Adyga (Polish), Atesis (Latin), Etsch (German), Athysis - Αθυσης (Ancient Greek)
Albula	Albula (German), Alvra (Romansh)
Alzette	Alzette (French), Alzig (German, old), Uelzecht (Luxembourgish)
Angrapa	Angerapp (German), Angrapa (Russian), Węgorapa (Polish)
Arieş	Arieş (Romanian), Aranyos (Hungarian)
Aude	Atax (Latin), Aude (French, Catalan)



Birs	Birs (German), Birse (French)
Bóbr	Bober (German), Bobr (Czech), Bóbr (Polish)
Bosna	Basana (Latin), Bosna (Bosnian, Croatian, Serbian), Vasna (variant name)
Brda	Brahe (German), Brda (Czech, Polish)
Bug, Southern	Aksu (Ottoman Turkish), Boh (Czech, Polish, Slovak), Bug (German), Etelä-Bug (Finnish), Hypanis (Greek, Latin), Lõuna-Bug (Estonian), Pivdennyi Buh - Південний Буг (Ukrainian), Yuzhnyi Bug - Южный Буг (Russian)
Bug	Bug (German, Hungarian, Polish), Bug / Länsi-Bug (Finnish), Bug / Lääne-Bug (Estonian), Bug - בוג (Yiddish), Buh - Буг (Ukrainian), Zakhodni Bug or Western Bug - Заходні Буг (Belarusian), Zapadnyi Bug - Западный Буг (Russian)



Charente	Charanta (Occitan), Charenta (Spanish), Charente (French)
Chiers	Chiers (French), Korn (German), Kuer (Luxembourgish)
Crasna	Crasna (Romanian), Kraszna (Hungarian)
Crişul Alb	Biely Kriš (Slovak), Bílý Kriš (Czech), Crişul Alb (Romanian), Fehér-Körös (Hungarian)
Crişul Negru	Černý Kriš (Czech), Čierny Kriš (Slovak), Crişul Negru (Romanian), Fekete-Körös (Hungarian)
Crişul Repede	Bystrý Kriš (Slovak, Czech), Crişul Repede (Romanian), Sebes-Körös (Hungarian)



Danube	Afon Donwy (Welsh), Danubah - דנובה (Hebrew), Danube (French), Danubi (Catalan), Danubio (Italian, Spanish), Danúbio (Portuguese), Danubius / Danuvius or Ister (Latin), Danubju (Maltese), Danubo (Esperanto), Dhúnavis - Δούναβης (Greek), Istros - Ιστρος (Ancient Greek), Donava (Slovene), Donau (Indonesian, Danish, Dutch, German, Swedish), Dóná (Icelandic), Doonau (Estonian), Duna (Hungarian), Dunaj (Czech, Polish, Slovak), Dunăre / Dunărea (Romanian), Dunav - Дунав (Bulgarian, Serbian), Dunav (Bosnian, Croatian, Serbian), Dunay - Дунай (Russian, Ukrainian, Belarusian), Tonava (Finnish), Tuna (Turkish)
Daugava/Dvina, Western	Daugava (Latvian), Daugava or Väina (Estonian), Daugava or Väinänjoki (Finnish), Daugava or Västra Dvina (Swedish), Daugava or Westelijke Dwina (Dutch), Dauguva (Lithuanian), Duina (Spanish), Düna (German), Dz'vina - Дзьвіна (Belarusian), Dźwina (Polish), Západní Dvina (Czech), Western Dvina (alternative English name), Zapadnaya Dvina - Западная Двина (Russian)
Dee	Dyfrdwy (Welsh)
Dniepr	Borysthenes (Latin), Vorysthenes - Βορυσθενης and Danapris - Δαναπρης (Greek and Ancient Greek), Dinyeper (Turkish), Dnepr (Danish, Estonian, Finnish, German, Norwegian, Swedish), Dnepr - Днепр (Russian), Dněpr (Czech), Dnieper (Italian, Portuguese), Dnièper (Catalan), Dniepr (Polish), Dnipro - Днiпро (Ukrainian), Dnjepar (Bosnian, Croatian, Serbian), Dnyapro - Дняпро (Belarusian), Dnyeper (Hungarian), Nipru (Romanian), Dnjeper (Slovene), Özü (Crimean Tatar)
Dniestr	Dinyester (Turkish), Dnestr - Днестр (Russian),Dnestr (Estonian, Finnish), Dněstr (Czech), Dniester (Italian, Portuguese), Dnièster (Catalan), Dniestr (Polish), Dnistro - Днiпсто (Ukrainian), Dnjestar (Bosnian, Croatian, Serbian), Dnjestr (Swedish), Dnjeszter (Hungarian), Nistru (Romanian), Tyras (Latin), Dnjester (Slovene), Dnesteros - Δνειστερος and Thyras - Θυρας (Greek and Ancient Greek)
Dollart	Dollard (Dutch), Dollart (German)
Don	Don - Дон (Bulgarian, Russian, Serbian), Don (Catalan, Croatian, Czech, Dutch, Estonian, Finnish, German, Hungarian, Italian, Polish, Portuguese, Romanian, Spanish, Swedish, Turkish)
Dordogne	Dordogna (Italian), Dordogne (French, Finnish), Dordoña (Spanish), Dordonha (Occitan, Portuguese), Dordonya (Catalan)
